x_distance,y_distance,sound_intensity,direction
3.800000000000000000e+01,-5.000000000000000000e+01,1.440406309373082649e+02,1.822486298553083417e+00
3.900000000000000000e+01,-5.000000000000000000e+01,1.439566592689708955e+02,1.835839186692351133e+00
4.000000000000000000e+01,-5.000000000000000000e+01,1.438721614328026419e+02,1.849095985800008002e+00
4.100000000000000000e+01,-5.000000000000000000e+01,1.437871983244958471e+02,1.862253121272763767e+00
4.200000000000000000e+01,-5.000000000000000000e+01,1.437018280398148420e+02,1.875307209997009172e+00
4.300000000000000000e+01,-5.000000000000000000e+01,1.436161059233466517e+02,1.888255062049527533e+00
4.400000000000000000e+01,-5.000000000000000000e+01,1.435300846252287670e+02,1.901093681624150378e+00
4.500000000000000000e+01,-5.000000000000000000e+01,1.434438141645877636e+02,1.913820267215599946e+00
4.600000000000000000e+01,-5.000000000000000000e+01,1.433573419985232533e+02,1.926432211095656433e+00
4.700000000000000000e+01,-5.000000000000000000e+01,1.432707130955727735e+02,1.938927098120060144e+00
4.800000000000000000e+01,-5.000000000000000000e+01,1.431839700126913044e+02,1.951302703907261460e+00
4.900000000000000000e+01,-5.000000000000000000e+01,1.430971529748737225e+02,1.963556992432218040e+00
5.000000000000000000e+01,-5.000000000000000000e+01,1.430102999566398125e+02,1.975688113079979935e+00
-5.000000000000000000e+01,-4.900000000000000000e+01,1.430971529748737225e+02,7.782040429071562793e-01
-4.900000000000000000e+01,-4.900000000000000000e+01,1.431857784427899105e+02,7.853981633974482790e-01
-4.800000000000000000e+01,-4.900000000000000000e+01,1.432744037223672535e+02,7.926973038411455619e-01
-4.700000000000000000e+01,-4.900000000000000000e+01,1.433629907461035202e+02,8.001029857752997021e-01
-4.600000000000000000e+01,-4.900000000000000000e+01,1.434514990943860653e+02,8.076167287241673431e-01
-4.500000000000000000e+01,-4.900000000000000000e+01,1.435398859040876118e+02,8.152400480645576319e-01
-4.400000000000000000e+01,-4.900000000000000000e+01,1.436281057785123778e+02,8.229744527401716692e-01
-4.300000000000000000e+01,-4.900000000000000000e+01,1.437161106994968804e+02,8.308214428190253686e-01
-4.200000000000000000e+01,-4.900000000000000000e+01,1.438038499425719294e+02,8.387825068881836765e-01
-4.100000000000000000e+01,-4.900000000000000000e+01,1.438912699961994690e+02,8.468591192802142897e-01
-4.000000000000000000e+01,-4.900000000000000000e+01,1.439783144862100244e+02,8.550527371260164822e-01
-3.900000000000000000e+01,-4.900000000000000000e+01,1.440649241066823549e+02,8.633647972289906214e-01
-3.800000000000000000e+01,-4.900000000000000000e+01,1.441510365586254920e+02,8.717967127558954310e-01
-3.700000000000000000e+01,-4.900000000000000000e+01,1.442365864979420849e+02,8.803498697402046824e-01
-3.600000000000000000e+01,-4.900000000000000000e+01,1.443215054942689335e+02,8.890256233943200082e-01
-3.500000000000000000e+01,-4.900000000000000000e+01,1.444057220024050991e+02,8.978252942276384596e-01
-3.400000000000000000e+01,-4.900000000000000000e+01,1.444891613481422041e+02,9.067501639682119530e-01
-3.300000000000000000e+01,-4.900000000000000000e+01,1.445717457304081961e+02,9.158014712865817364e-01
-3.200000000000000000e+01,-4.900000000000000000e+01,1.446533942417155458e+02,9.249804073213270250e-01
-3.100000000000000000e+01,-4.900000000000000000e+01,1.447340229089654713e+02,9.342881110069455319e-01
-3.000000000000000000e+01,-4.900000000000000000e+01,1.448135447566968992e+02,9.437256642058783340e-01
-2.900000000000000000e+01,-4.900000000000000000e+01,1.448918698948750432e+02,9.532940866478228914e-01
-2.800000000000000000e+01,-4.900000000000000000e+01,1.449689056332863117e+02,9.629943306809362058e-01
-2.700000000000000000e+01,-4.900000000000000000e+01,1.450445566245355167e+02,9.728272758411219412e-01
-2.600000000000000000e+01,-4.900000000000000000e+01,1.451187250375254223e+02,9.827937232473290541e-01
-2.500000000000000000e+01,-4.900000000000000000e+01,1.451913107631283140e+02,9.928943898326509920e-01
-2.400000000000000000e+01,-4.900000000000000000e+01,1.452622116535327450e+02,1.003129902423016917e+00
-2.300000000000000000e+01,-4.900000000000000000e+01,1.453313237964588893e+02,1.013500791677391044e+00
